ID PROGRAMA,NOMBRE DEL PROGRAMA,MES,FECHA INICIO
IDEPI-TEC-EE,EXECUTIVE ENGLISH PROGRAM,ENERO,25 de enero
IDEPI-TEC-TLI,Técnico en Logística Internacional y cadena de abastecimiento,ENERO,26 de enero
IDEPI-DIPLOMADO,Diplomado en Dirección de empresas,ENERO,26 de enero
IDEPI-MISIÓN ACAD,Misión Académica: Alta Gerencia y Finanzas corporativas para la toma de decisiones apoyado en IA,FEBRERO,22 al 27 de febrero
IDEPI-TEC-TS,Técnico en Seguros,FEBRERO,22 de febrero
IDEPI-ESP-AFI,Especialista en Auditoría Financiera Integral,FEBRERO,22 de febrero
IDEPI-TEC-COR,Técnico en Ciberseguridad y operaciones de red,FEBRERO,22 de febrero
IDEPI-TEC-IA,Técnico en Inteligencia Artificial,FEBRERO,23 de febrero
IDEPI-ESP-EGP,Especialista en Gestión de Proyectos,FEBRERO,23 de febrero
IDEPI-ESP-CP,Especialista en Contratación Pública,FEBRERO,23 de febrero
IDEPI-TEC-SEMC,Técnico en Tecnologías de Semiconductores,MARZO,29 de marzo
IDEPI-ESP-FMV,Especialista en Gestión Bursátil y Gobernanza,MARZO,29 de marzo
IDEPI-ESP-EPLG,Especialista en Prevención en Legitimación de Capitales,MARZO,29 de marzo
IDEPI-ESP-EPAT,Especialista en Práctica y Asesoría Tributaria,MARZO,30 de marzo
IDEPI-TEC-MKAI,Técnico en Marketing AI PRO,MARZO,30 de marzo
IDEPI-TEC-GD,Técnico en Gestión Deportiva,ABRIL,26 de abril
IDEPI-ESP-RD,Especialista en Régimen Disciplinario,ABRIL,26 de abril
IDEPI-ESP-GOB,Especialista en Gobierno Corporativo,ABRIL,26 de abril
IDEPI-ESP-ECN,Especialista en Cumplimiento Normativo,ABRIL,27 de abril
IDEPI-CURSO LIBRE,Certificación Lean Practitioner – Enfoque Dual: Oficina y Manufactura,ABRIL,27 de abril
IDEPI-CURSO LIBRE,GERENTES LIDERES 4.0,MAYO,24 al 28 de mayo
IDEPI-ESP-RIEG,Especialista en Riesgos,MAYO,24 de mayo
IDEPI-ESP-GETH,Especialista en Gestión de Talento Humano,MAYO,24 de mayo
IDEPI-CURSO LIBRE,Certificación en Gestión de Ciberseguridad Empresarial,MAYO,24 de mayo
IDEPI-ESP-CIA,Especialista en Control Interno y Auditoría,MAYO,25 de mayo
IDEPI-MISIÓN ACAD,Misión Académica Seguros y Gerencia Aseguradora,JUNIO,14 al 19 de junio
IDEPI-TEC-TDE,Técnico en Dirección de Empresas,JUNIO,28 de junio
IDEPI-ESP-AFP,Especialista en Auditoría del Sector Público,JUNIO,29 de junio
IDEPI-MISIÓN ACAD,Misión académica Liderazgo financiero experiencia en México,OCTUBRE,28 y 29 de octubre
IDEPI-SEM-CF,Seminario Cierre Fiscal,NOVIEMBRE,3 de noviembre
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
